Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Vanc,var-19F-Vanc,sd-19F-Vanc,se-19F-Vanc,Total-19F-Vanc,Blank-19F-Vanc,Not Blank-19F-Vanc,Blank Removed-19F-Vanc,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
633,SPT_0967,1.01,0.007,0.085,0.012,,52,0,52,0,,SPT_0967,0.991115271,0.01317452,0.114780311,0.019401414,35,0,35,0,0.019,85,0.822,0.41326,,copper homeostasis protein CutC,FALSE
657,SPT_0968,1.006,0.006,0.077,0.01,,59,0,59,0,,SPT_0968,1.038642957,0.009263709,0.096248164,0.015613514,38,0,38,0,-0.032,95,1.75,0.08343,,hypothetical protein,FALSE
1420,SPT_0970,1.012,0.016,0.125,0.014,,84,1,83,0,,SPT_0970,1.044642935,0.018364696,0.135516406,0.018792744,52,1,51,0,-0.033,134,1.419,0.15824,,psuedo,FALSE
1038,SPT_0971,1.017,0.008,0.09,0.008,leuB,134,0,134,0,,SPT_0971,1.036630532,0.015957345,0.126322386,0.014212379,79,0,79,0,-0.02,211,1.226,0.22141,,3-isopropylmalate dehydrogenase,FALSE
270,SPT_0972,1.012,0.004,0.062,0.015,,16,0,16,0,,SPT_0972,0.981045359,0.019175845,0.138476874,0.048958968,8,0,8,0,0.031,22,0.608,0.5493,,hypothetical protein,FALSE
360,SPT_0973,1.018,0.008,0.087,0.013,,44,0,44,0,,SPT_0973,1.056665146,0.010419899,0.102077907,0.020415581,25,0,25,0,-0.039,67,1.609,0.11231,,"3-isopropylmalate dehydratase, small subunit, putative",FALSE
144,SPT_0974,1.017,0,0.022,0.013,,3,0,3,0,,SPT_0974,1.061986005,0.000756559,0.027505616,0.019449408,2,0,2,0,-0.045,3,1.919,0.15078,,hypothetical protein,FALSE
267,SPT_0975,1.014,0.006,0.076,0.013,,35,0,35,0,,SPT_0975,1.075771732,0.012330507,0.111042817,0.023674408,22,0,22,0,-0.062,55,2.287,0.0261,,hypothetical protein,FALSE
171,SPT_0976,1.016,0.009,0.092,0.027,,12,0,12,0,,SPT_0976,0.94300724,0.034370244,0.185392135,0.075686022,6,0,6,0,0.073,16,0.904,0.37935,,hypothetical protein,FALSE
1932,SPT_0977,1.03,0.01,0.1,0.006,,294,0,294,0,,SPT_0977,1.042405829,0.013595889,0.11660141,0.008393153,193,0,193,0,-0.012,485,1.173,0.24145,,"endonuclease, putative",FALSE
1320,SPT_0978,1.036,0.008,0.087,0.006,,202,0,202,0,,SPT_0978,1.066306945,0.011952867,0.109329168,0.009701395,127,0,127,0,-0.031,327,2.687,0.00758,,hypothetical protein,FALSE
987,SPT_0979,1.025,0.005,0.074,0.008,guaC,93,0,93,0,,SPT_0979,0.994540697,0.011862228,0.108913857,0.014425993,57,0,57,0,0.031,148,1.892,0.06045,,guanosine monophosphate reductase,FALSE
99,SPT_0980,0.968,0.018,0.133,0.038,,12,0,12,0,,SPT_0980,0.828183878,0.013532811,0.116330609,0.041129081,8,0,8,0,0.139,18,2.474,0.02356,,tRNA-Arg,FALSE
699,SPT_0981,,,,,rnc,,,,,,SPT_0981,,,,,,,,,,,,,,ribonuclease III,FALSE
3540,SPT_0982,0.988,0.009,0.096,0.008,smc,157,0,157,0,,SPT_0982,0.886707207,0.015475178,0.124399266,0.012830805,94,0,94,0,0.102,249,6.811,0,,chromosome segregation protein SMC,FALSE
795,SPT_0983,1.007,0.009,0.094,0.012,,63,0,63,0,,SPT_0983,0.986273383,0.016147047,0.127071032,0.020091694,40,0,40,0,0.021,101,0.899,0.37103,,Cof family protein,FALSE
819,SPT_0984,1.028,0.007,0.086,0.015,,33,0,33,0,,SPT_0984,0.990846212,0.016717985,0.129298046,0.027566436,22,0,22,0,0.037,53,1.175,0.24519,,Cof family protein,FALSE
1290,SPT_0985,,,,,,,,,,,SPT_0985,,,,,,,,,,,,,,cell division protein FtsY,FALSE
1488,SPT_0986,0.696,0,0.015,0.011,zwf,2,0,2,0,,SPT_0986,0.310234148,0,0,0,1,0,1,0,0.385,1,36.187,0.01759,,glucose-6-phosphate 1-dehydrogenase,FALSE
741,SPT_0987,1.003,0.008,0.088,0.017,,28,0,28,0,,SPT_0987,1.114856324,0.027178227,0.164858202,0.039983987,17,0,17,0,-0.112,43,2.591,0.01303,,"amino acid ABC transporter, ATP-binding protein",FALSE
2166,SPT_0988,1,0.009,0.093,0.011,,70,0,70,0,,SPT_0988,1.065372214,0.020703737,0.143887932,0.019401845,55,0,55,0,-0.066,123,2.946,0.00385,,"amino acid ABC transporter, amino acid-binding protein/permease protein",FALSE
954,SPT_0989,1.024,0.006,0.078,0.007,,121,0,121,0,,SPT_0989,1.013123302,0.009981203,0.099905969,0.011385342,77,0,77,0,0.011,196,0.806,0.42126,,caax amino protease family,FALSE
1989,SPT_0990,1.017,0.007,0.081,0.007,uvrB,148,0,148,0,,SPT_0990,0.999199162,0.016830074,0.129730774,0.012845261,102,0,102,0,0.018,248,1.211,0.22712,,"excinuclease ABC, B subunit",FALSE
564,SPT_0991,1.021,0.009,0.093,0.01,,87,0,87,0,,SPT_0991,1.020343761,0.010066379,0.100331344,0.01340734,56,0,56,0,0,141,0.015,0.98829,,"acetyltransferase, gnat family",FALSE
489,SPT_0992,1.018,0.009,0.093,0.013,,51,0,51,0,,SPT_0992,0.996970952,0.019250524,0.138746258,0.025764533,29,0,29,0,0.021,78,0.738,0.4625,,"acetyltransferase, gnat family",FALSE
516,SPT_0993,1.041,0.004,0.061,0.009,,45,0,45,0,,SPT_0993,1.028634685,0.009391936,0.096911999,0.017405909,31,0,31,0,0.013,74,0.651,0.51715,,"transcriptional regulator, biotin repressor family",FALSE
468,SPT_0994,1.027,0.004,0.061,0.01,,41,0,41,0,,SPT_0994,0.994870622,0.009269235,0.096276869,0.018881447,26,0,26,0,0.032,65,1.506,0.13689,,NTP pyrophosphohydrolase including oxidative damage repair enzymes,FALSE
528,SPT_0995,1.024,0.007,0.084,0.009,,90,0,90,0,,SPT_0995,1.032393012,0.01274179,0.112879537,0.015653575,52,0,52,0,-0.008,140,0.472,0.63792,,hypothetical protein,FALSE
552,SPT_0997,,,,,coaC,,,,,,SPT_0997,,,,,,,,,,,,,,phosphopantothenoylcysteine decarboxylase,FALSE
690,SPT_0998,0.986,0.014,0.12,0.069,coaB,3,0,3,0,,SPT_0998,0.260706175,0,0,0,1,0,1,0,0.725,2,10.468,0.009,,phosphopantothenate--cysteine ligase,FALSE
1176,SPT_1000,1.016,0.007,0.081,0.008,mutY,104,0,104,0,,SPT_1000,1.010884298,0.009832121,0.099157051,0.013019959,58,0,58,0,0.005,160,0.34,0.73452,,A/G-specific adenine glycosylase,FALSE
705,SPT_1001,,,,,,,,,,,SPT_1001,,,,,,,,,,,,,,DNA-binding response regulator,FALSE
1350,SPT_1002,0.86,0.008,0.09,0.014,,41,0,41,0,,SPT_1002,0.885980996,0.01582625,0.125802426,0.023774424,28,0,28,0,-0.026,67,0.94,0.35054,,sensor protein YycG,FALSE
810,SPT_1003,0.912,0.012,0.11,0.03,,13,0,13,0,,SPT_1003,0.900299272,0.013469422,0.116057839,0.032188653,13,0,13,0,0.012,24,0.273,0.78741,,vicX protein,FALSE
243,SPT_1004,0.933,0.007,0.086,0.026,,11,0,11,0,,SPT_1004,1.120665981,0.007602945,0.087194866,0.03899473,5,0,5,0,-0.188,14,4.002,0.00131,,hypothetical protein,FALSE
255,SPT_1005,0.962,0.011,0.104,0.021,,24,0,24,0,,SPT_1005,1.012970045,0.014078861,0.118654375,0.028777913,17,0,17,0,-0.051,39,1.411,0.16609,,cytotoxic translational repressor of toxin-antitoxin stability system,FALSE
774,SPT_1006,1.017,0.012,0.109,0.011,,97,0,97,0,,SPT_1006,1.043918755,0.018128781,0.13464316,0.017529046,59,0,59,0,-0.027,154,1.3,0.19557,,potassium/ion channel protein,FALSE
1347,SPT_1007,,,,,,,,,M,,SPT_1007,,,,,,,,M,,,,,,Spn1 transposase,FALSE
987,SPT_1008,0.9,0.01,0.1,0.021,ldh,22,0,22,0,,SPT_1008,0.697060777,0.033418683,0.182807776,0.047200765,15,1,14,0,0.203,35,3.919,0.00039,,L-lactate dehydrogenase,FALSE
2469,SPT_1010,,,,,gyrA,,,,,,SPT_1010,,,,,,,,,,,,,,"DNA gyrase, A subunit",FALSE
744,SPT_1011,1.014,0.008,0.088,0.013,,43,0,43,0,,SPT_1011,1.160058129,0.014983395,0.122406679,0.024481336,25,0,25,0,-0.146,66,5.239,0,,sortase,FALSE
798,SPT_1012,1.001,0.01,0.098,0.013,,58,0,58,0,,SPT_1012,0.969163889,0.02505778,0.158296492,0.028430889,31,1,30,0,0.032,87,1.022,0.30974,,FNT family protein,FALSE
1540,SPT_1014,1.019,0.006,0.076,0.007,,137,0,137,0,,SPT_1014,1.019589949,0.009426275,0.097089007,0.010291414,89,0,89,0,-0.001,224,0.066,0.94721,,pseudo,FALSE
1275,SPT_1015,1.014,0.007,0.085,0.009,,90,0,90,0,,SPT_1015,1.002877755,0.01170321,0.108181377,0.014328973,57,0,57,0,0.011,145,0.643,0.52142,,hypothetical protein,FALSE
879,SPT_1016,1.003,0.007,0.084,0.009,truB,92,0,92,0,,SPT_1016,1.026949991,0.008224477,0.090688903,0.011908036,58,0,58,0,-0.024,148,1.61,0.10955,,tRNA pseudouridine synthase B,FALSE
342,SPT_1017,1.052,0.002,0.047,0.01,,22,0,22,0,,SPT_1017,1.070272732,0.00577657,0.076003748,0.021079647,13,0,13,0,-0.018,33,0.783,0.43899,,hypothetical protein,FALSE
639,SPT_1018,1.042,0.005,0.067,0.009,udk,55,0,55,0,,SPT_1018,1.019246698,0.011778757,0.108529983,0.018344915,35,0,35,0,0.023,88,1.116,0.26767,,uridine kinase,FALSE
1341,SPT_1019,0.989,0.012,0.111,0.015,xseA,53,0,53,0,,SPT_1019,0.881973369,0.028046337,0.167470406,0.029152856,33,1,32,0,0.107,84,3.251,0.00166,,"exodeoxyribonuclease VII, large subunit",FALSE
213,SPT_1020,,,,,,,,,,,SPT_1020,,,,,,,,,,,,,,exodeoxyribonuclease VII small subunit,FALSE
876,SPT_1021,,,,,,,,,,,SPT_1021,,,,,,,,,,,,,,geranyltranstransferase (Farnesyl-diphosphate synthase)(FPP synthase),FALSE
816,SPT_1022,0.957,0.007,0.082,0.012,tylA,51,0,51,0,,SPT_1022,0.916478447,0.012297669,0.110894855,0.020246538,30,0,30,0,0.04,79,1.727,0.08806,,"hemolysin A, putative",FALSE
432,SPT_1023,0.997,0.007,0.081,0.013,,38,0,38,0,,SPT_1023,0.983777668,0.011836388,0.108795165,0.021336487,26,0,26,0,0.014,62,0.547,0.58616,,transcriptional regulator of arginine metabolism expression,FALSE
1668,SPT_1024,1.015,0.006,0.079,0.007,recN,129,0,129,0,,SPT_1024,0.987281193,0.007750431,0.088036534,0.009968175,78,0,78,0,0.028,205,2.277,0.02384,,DNA repair protein RecN,FALSE
729,SPT_1025,1.032,0.005,0.07,0.007,,96,0,96,0,,SPT_1025,1.016896877,0.008203087,0.090570897,0.011502515,62,0,62,0,0.015,156,1.114,0.26704,,serine/threonine protein phosphatase,FALSE
1824,SPT_1026,0.992,0.008,0.089,0.008,lepA,138,0,138,0,,SPT_1026,1.007425356,0.012829055,0.113265417,0.01200611,89,0,89,0,-0.015,225,1.079,0.28186,,GTP-binding protein LepA,FALSE
153,SPT_1027,0.951,0.075,0.273,0.158,,3,0,3,0,,SPT_1027,0.929958541,0.053909865,0.232184979,0.164179573,2,0,2,0,0.021,3,0.094,0.931,,chlorohydrolase,FALSE
477,SPT_1028,1.032,0.011,0.104,0.025,,17,0,17,0,,SPT_1028,0.980029511,0.011086857,0.105294147,0.033296933,10,0,10,0,0.052,25,1.235,0.22832,,phosphotransferase system sugar-specific EII component,FALSE
303,SPT_1029,,,,,,,,,,,SPT_1029,,,,,,,,,,,,,,"PTS system, galactose-specific IIB component",FALSE
,SPT_1030,,,,,,,,,,,SPT_1030,,,,,,,,,,,,,,,FALSE
468,SPT_1031,1.098,0,0,0,,1,0,1,0,M,SPT_1031,1.291644518,0,0,0,1,0,1,0,,,,,,transposase (IS4 family),FALSE
477,SPT_1032,1.01,0.01,0.102,0.015,,48,0,48,0,,SPT_1032,0.984922932,0.008012364,0.089511811,0.015823602,32,0,32,0,0.025,78,1.166,0.24724,,hypothetical protein,FALSE
426,SPT_1033,1.016,0.006,0.079,0.013,lacA,34,0,34,0,,SPT_1033,0.999011651,0.005892264,0.076761087,0.016750642,21,0,21,0,0.017,53,0.798,0.42848,,"galactose-6-phosphate isomerase, LacA subunit",FALSE
516,SPT_1034,1.008,0.009,0.095,0.014,lacB,46,0,46,0,,SPT_1034,0.972342919,0.021396873,0.146276699,0.026272071,31,0,31,0,0.035,75,1.181,0.24118,,"galactose-6-phosphate isomerase, LacB subunit",FALSE
930,SPT_1035,1.026,0.01,0.101,0.012,lacC,73,0,73,0,,SPT_1035,1.028288566,0.010704248,0.103461338,0.015423106,45,0,45,0,-0.002,116,0.102,0.91913,,tagatose-6-phosphate kinase,FALSE
981,SPT_1036,1.03,0.007,0.082,0.008,lacD,111,0,111,0,,SPT_1036,1.035367518,0.010163241,0.100812901,0.011564033,76,0,76,0,-0.005,185,0.391,0.69629,,"tagatose 1,6-diphosphate aldolase",FALSE
837,SPT_1037,1.011,0.008,0.087,0.009,,102,0,102,0,,SPT_1037,1.034752069,0.010597842,0.102945822,0.012969954,63,0,63,0,-0.024,163,1.543,0.12468,,transcription antiterminator LacT,FALSE
318,SPT_1038,1.026,0.005,0.073,0.011,,46,0,46,0,,SPT_1038,1.006854426,0.010249008,0.101237385,0.020247477,25,0,25,0,0.019,69,0.849,0.39907,,lactose-specific phosphotransferase enzyme iia component (pts system lactose-specific eiia component) (eiia-lac) (eiii-lac),FALSE
1692,SPT_1039,1.021,0.006,0.08,0.005,,226,0,226,0,,SPT_1039,1.020749278,0.009456052,0.097242233,0.008218469,140,0,140,0,0,364,0.003,0.99746,,pts system lactose-specific eiicb component (eiicb-lac) (eii-lac),FALSE
1407,SPT_1040,1.021,0.006,0.075,0.005,lacG2,208,0,208,0,,SPT_1040,1.028502741,0.009674511,0.098359094,0.008434223,136,0,136,0,-0.007,342,0.718,0.47315,,6-phospho-beta-galactosidase,FALSE
180,SPT_1041,1.046,0.001,0.037,0.015,,6,0,6,0,,SPT_1041,1.097995402,0.005516053,0.074270134,0.037135067,4,0,4,0,-0.052,8,1.299,0.22997,,hypothetical protein,FALSE
762,SPT_1042,0.962,0.008,0.089,0.01,,81,0,81,0,,SPT_1042,0.909742263,0.018571884,0.136278701,0.018898456,52,0,52,0,0.052,131,2.458,0.01528,,lactose phosphotransferase system repressor,FALSE
963,SPT_1043,1.029,0.002,0.044,0.015,nrdF,9,0,9,0,,SPT_1043,0.951169066,0.008529295,0.092354185,0.037703438,6,0,6,0,0.078,13,1.926,0.07631,,ribonucleotide-diphosphate reductase subunit beta,FALSE
2160,SPT_1044,,,,,,,,,,,SPT_1044,,,,,,,,,,,,,,"ribonucleoside-diphosphate reductase, alpha subunit",FALSE
219,SPT_1045,1.052,0.004,0.061,0.028,,5,0,5,0,,SPT_1045,1.022875848,0.029156476,0.170752675,0.120740375,2,0,2,0,0.029,5,0.236,0.82248,,glutaredoxin,FALSE
264,SPT_1046,,,,,,,,,,,SPT_1046,,,,,,,,,,,,,,phosphocarrier protein HPr (Histidine-containing protein),FALSE
1734,SPT_1047,,,,,ptsP,,,,,,SPT_1047,,,,,,,,,,,,,,phosphoenolpyruvate-protein phosphotransferase,FALSE
114,SPT_1048,0.986,0.013,0.114,0.033,,12,0,12,0,,SPT_1048,1.033342752,0.006581197,0.081124577,0.030662208,7,0,7,0,-0.048,17,1.061,0.30358,,hypothetical protein,FALSE
2559,SPT_1049,1.038,0.006,0.08,0.008,,112,0,112,0,,SPT_1049,1.034740599,0.01472245,0.121336105,0.014607151,69,0,69,0,0.003,179,0.172,0.86363,,pneumococcal histidine triad protein B,FALSE
3120,SPT_1050,1.022,0.007,0.085,0.004,,383,0,383,0,,SPT_1050,1.011211447,0.01203344,0.109697036,0.007095711,239,0,239,0,0.011,620,1.302,0.1934,,pneumococcal histidine triad protein E,FALSE
796,SPT_1051,0.863,0,0.017,0.012,,2,0,2,0,,SPT_1051,0.920476437,0.000180774,0.013445221,0.009507207,2,0,2,0,-0.058,2,3.773,0.0636,,pseudo,FALSE
1020,SPT_1052,0.987,0.002,0.048,0.022,,5,0,5,0,,SPT_1052,1.051360505,0.001171833,0.034232047,0.017116023,4,0,4,0,-0.064,7,2.339,0.05195,,pseudo,FALSE
570,SPT_1053,1.031,0.006,0.074,0.007,,103,0,103,0,,SPT_1053,1.01315907,0.007406509,0.086061079,0.010360536,69,0,69,0,0.018,170,1.42,0.15754,,pneumococcal histidine triad protein E,FALSE
630,SPT_1054,1.019,0.009,0.094,0.014,,48,0,48,0,,SPT_1054,1.031818786,0.010309388,0.101535158,0.01954045,27,0,27,0,-0.012,73,0.524,0.6016,,hypothetical protein,FALSE
1224,SPT_1055,1.022,0.005,0.073,0.007,pepT,116,0,116,0,,SPT_1055,1.027886686,0.012003531,0.109560626,0.012736164,74,0,74,0,-0.006,188,0.399,0.69019,,peptidase T,FALSE
504,SPT_1056,1.033,0.005,0.068,0.009,,62,0,62,0,,SPT_1056,1.009511791,0.008030241,0.089611609,0.013827372,42,0,42,0,0.024,102,1.446,0.15135,,collagen adhesion protein,FALSE
1761,SPT_1057,1.026,0.006,0.078,0.005,,238,0,238,0,,SPT_1057,1.028853103,0.011404128,0.10679011,0.008661822,152,0,152,0,-0.003,388,0.303,0.76219,,hypothetical protein,FALSE
552,SPT_1058,1.034,0.006,0.078,0.01,lepB2,67,0,67,0,,SPT_1058,1.045319727,0.011459446,0.107048801,0.016324789,43,0,43,0,-0.012,108,0.615,0.54005,,signal peptidase I,FALSE
1242,SPT_1059,1.038,0.008,0.091,0.007,,183,0,183,0,,SPT_1059,1.042878417,0.009453222,0.097227683,0.008912847,119,0,119,0,-0.005,300,0.437,0.66224,,hypothetical protein,FALSE
999,SPT_1060,1.05,0.007,0.081,0.008,srtB,104,0,104,0,,SPT_1060,1.056070363,0.014095811,0.118725779,0.013991967,72,0,72,0,-0.006,174,0.382,0.70259,,"surface protein cell wall anchor, sortase_B family",FALSE
636,SPT_1061,1.012,0.003,0.059,0.007,,82,0,82,0,,SPT_1061,1.021171203,0.013964617,0.118171982,0.016547387,51,1,50,0,-0.009,131,0.488,0.62651,,"surface protein cell wall anchor, sortase_B family",FALSE
1095,SPT_1062,1.033,0.004,0.063,0.006,hemH,117,0,117,0,,SPT_1062,1.023597105,0.010571538,0.102817985,0.011567927,79,0,79,0,0.009,194,0.723,0.47046,,ferrochelatase,FALSE
378,SPT_1063,0.996,0.01,0.102,0.017,mscL,38,0,38,0,,SPT_1063,1.004484331,0.014431453,0.120130983,0.024026197,25,0,25,0,-0.008,61,0.282,0.77868,,large conductance mechanosensitive channel protein,FALSE
432,SPT_1064,1.03,0.011,0.104,0.013,,67,0,67,0,,SPT_1064,1.035579419,0.012256392,0.11070859,0.017504565,40,0,40,0,-0.006,105,0.271,0.78722,,GtrA family protein,FALSE
510,SPT_1065,1.028,0.01,0.102,0.013,,65,0,65,0,,SPT_1065,1.027695931,0.013735081,0.117196762,0.017872339,43,0,43,0,0,106,0.004,0.99698,,citrulline cluster-linked protein,FALSE
98,SPT_1066,0.952,0.012,0.108,0.036,,9,0,9,0,,SPT_1066,0.998747893,0.005973273,0.077286954,0.031552267,6,0,6,0,-0.046,13,0.969,0.35036,,tRNA-Thr*,FALSE
1077,SPT_1067,0.808,0.013,0.116,0.013,asd,85,1,84,0,,SPT_1067,0.595225006,0.026870003,0.163920721,0.02171183,57,0,57,0,0.213,140,8.476,0,,aspartate-semialdehyde dehydrogenase,FALSE
936,SPT_1068,1.023,0.006,0.079,0.007,dapA,143,0,143,0,,SPT_1068,1.010531549,0.015169819,0.123165819,0.01312952,88,0,88,0,0.013,229,0.88,0.3799,,dihydrodipicolinate synthase,FALSE
1374,SPT_1069,0.987,0.001,0.033,0.017,trmE,4,0,4,0,,SPT_1069,0.871446486,0.003959001,0.06292059,0.031460295,4,0,4,0,0.116,6,3.256,0.01733,,tRNA modification GTPase TrmE,FALSE
183,SPT_1070,1.04,0.004,0.06,0.018,,11,0,11,0,,SPT_1070,1.055934515,0.007813839,0.088395921,0.036087484,6,0,6,0,-0.016,15,0.385,0.70581,,4-oxalocrotonate tautomerase,FALSE
591,SPT_1071,0.965,0.019,0.137,0.018,tdk,61,0,61,0,,SPT_1071,0.91511454,0.083031734,0.288152276,0.047371942,37,0,37,0,0.05,96,0.981,0.32891,,thymidine kinase,FALSE
1080,SPT_1072,0.584,0.007,0.085,0.049,prfA,3,0,3,0,,SPT_1072,0.641783168,0,0,0,1,0,1,0,-0.057,2,1.166,0.36381,,peptide chain release factor 1,FALSE
840,SPT_1073,0.919,0.021,0.145,0.016,hemK,87,0,87,0,,SPT_1073,0.959361069,0.060142487,0.245239653,0.03337289,54,0,54,0,-0.04,139,1.097,0.27457,,HemK protein,FALSE
603,SPT_1074,0.634,0.042,0.205,0.042,,24,2,22,0,,SPT_1074,0.788568393,0.138349746,0.371953957,0.087670388,18,1,17,0,-0.155,40,1.593,0.11902,,Sua5/YciO/YrdC/YwlC family protein,FALSE
432,SPT_1075,1.029,0.012,0.108,0.015,,52,0,52,0,,SPT_1075,1.086521587,0.156939741,0.396156208,0.067940229,34,0,34,0,-0.057,84,0.826,0.41128,,"acetyltransferase, gnat family protein",FALSE
1257,SPT_1076,1.012,0.01,0.101,0.009,glyA,115,0,115,0,,SPT_1076,1.096117055,0.115676739,0.340112832,0.040651259,70,2,68,0,-0.084,183,2.017,0.04514,,serine hydroxymethyltransferase,FALSE
975,SPT_1077,0.996,0.012,0.108,0.015,,54,0,54,0,,SPT_1077,1.110236254,0.131810589,0.36305728,0.058895668,38,1,37,0,-0.114,90,1.879,0.06347,,hypothetical protein,FALSE
975,SPT_1079,0.998,0.008,0.089,0.01,,86,0,86,0,,SPT_1079,0.709190267,0.069907437,0.264400146,0.036318153,53,5,48,0,0.289,137,7.688,0,,hypothetical protein,FALSE
1632,SPT_1080,0.992,0.011,0.103,0.011,rumA1,89,0,89,0,,SPT_1080,0.788766894,0.065504694,0.255938847,0.034201267,56,2,54,0,0.203,143,5.653,0,,23S rRNA (uracil-5-)-methyltransferase RumA,FALSE
219,SPT_1081,1.009,0.008,0.088,0.014,,42,0,42,0,,SPT_1081,0.926787274,0.025878639,0.160868389,0.032173678,25,0,25,0,0.083,65,2.366,0.02096,,hypothetical protein,FALSE
1026,SPT_1082,1.013,0.008,0.089,0.007,,155,0,155,0,,SPT_1082,0.974617564,0.018754699,0.136947798,0.014516438,89,0,89,0,0.038,242,2.366,0.01876,,ABC transporter substrate-binding protein - iron transport,FALSE
1008,SPT_1083,1.01,0.007,0.085,0.006,,218,0,218,0,,SPT_1083,0.999071385,0.010063586,0.100317424,0.008570696,137,0,137,0,0.011,353,1.064,0.28791,,"iron-compound ABC transporter, permease protein",FALSE
1008,SPT_1084,1.007,0.011,0.105,0.009,,143,0,143,0,,SPT_1084,0.998235808,0.015130709,0.123006947,0.01326418,86,0,86,0,0.009,227,0.555,0.57923,,"iron-compound ABC transporter, permease protein",FALSE
795,SPT_1085,1.005,0.007,0.086,0.007,,165,1,164,0,,SPT_1085,0.987554566,0.011541158,0.107429782,0.010434503,106,0,106,0,0.018,269,1.442,0.15042,,"iron-compound ABC transporter, ATP-binding protein",FALSE
315,SPT_1086,1.017,0.009,0.095,0.022,,19,0,19,0,,SPT_1086,1.002771877,0.040991972,0.202464743,0.061045417,11,0,11,0,0.014,28,0.221,0.82704,,hypothetical protein,FALSE
1641,SPT_1087,1.023,0.01,0.099,0.006,,254,0,254,0,,SPT_1087,1.011999057,0.01517105,0.123170818,0.00970722,161,0,161,0,0.011,413,0.944,0.34577,,MobA/MobL family protein,FALSE
174,SPT_1088,1,0.01,0.1,0.022,,21,0,21,0,,SPT_1088,1.006695484,0.007504695,0.08662964,0.024026739,13,0,13,0,-0.007,32,0.219,0.82789,,hypothetical protein,FALSE
,SPT_1089,,,,,,,,,,,SPT_1089,,,,,,,,,,,,,,,FALSE
534,SPT_1091,1.038,0.005,0.073,0.011,,47,0,47,0,,SPT_1091,0.999371486,0.01467061,0.121122294,0.022889962,28,0,28,0,0.038,73,1.521,0.13251,,hypothetical protein,FALSE
723,SPT_1092,1.03,0.007,0.084,0.008,,122,0,122,0,,SPT_1092,1.044479405,0.011486251,0.10717393,0.012213603,77,0,77,0,-0.015,197,1.027,0.30567,,putative phage-associated protein,FALSE
162,SPT_1093,1.096,0.018,0.133,0.036,,14,0,14,0,,SPT_1093,0.993589228,0.004635959,0.068087879,0.024072701,8,0,8,0,0.102,20,2.377,0.02754,,hypothetical protein,FALSE
2180,SPT_1094,1.025,0.009,0.092,0.005,,301,0,301,0,,SPT_1094,1.016952396,0.012329637,0.111038897,0.007736447,206,0,206,0,0.008,505,0.877,0.3809,,pseudo,FALSE
567,SPT_1096,1.009,0.006,0.077,0.009,,67,0,67,0,,SPT_1096,1.010219814,0.008986458,0.094796928,0.015799488,36,0,36,0,-0.001,101,0.06,0.95205,,hypothetical protein,FALSE
189,SPT_1097,1.037,0.006,0.077,0.013,,36,0,36,0,,SPT_1097,0.997288581,0.018527114,0.136114343,0.029019675,22,0,22,0,0.04,56,1.253,0.21553,,hypothetical protein,FALSE
759,SPT_1098,1.018,0.007,0.085,0.006,,182,0,182,0,,SPT_1098,0.989365133,0.015509701,0.124537951,0.011613224,115,0,115,0,0.028,295,2.142,0.03297,,hypothetical protein,FALSE
855,SPT_1099,1.023,0.005,0.069,0.006,,113,0,113,0,,SPT_1099,1.001585652,0.009690974,0.098442747,0.011443737,74,0,74,0,0.021,185,1.63,0.10491,,ADP-ribosylglycohydrolase superfamily,FALSE
885,SPT_1100,1.012,0.006,0.079,0.008,,105,0,105,0,,SPT_1100,1.00762308,0.010734437,0.103607126,0.012753156,66,0,66,0,0.004,169,0.265,0.79147,,hypothetical protein,FALSE
2260,SPT_1101,1.017,0.008,0.088,0.006,,250,0,250,0,,SPT_1101,1.00002204,0.010945239,0.104619498,0.008376264,156,0,156,0,0.017,404,1.685,0.0928,,pseudo,FALSE
303,SPT_1104,1.027,0.006,0.08,0.011,,58,0,58,0,,SPT_1104,1.019577043,0.010726011,0.103566459,0.017505927,35,0,35,0,0.008,91,0.375,0.70876,,hypothetical protein,FALSE
429,SPT_1105,1.009,0.009,0.092,0.011,,71,0,71,0,,SPT_1105,0.980607164,0.01132768,0.106431573,0.016230663,43,0,43,0,0.028,112,1.456,0.1483,,aminoglycoside 6'-N-acetyltransferase,FALSE
258,SPT_1106,1.037,0.009,0.096,0.014,,50,0,50,0,,SPT_1106,1.027123805,0.010861722,0.104219588,0.017873512,34,0,34,0,0.01,82,0.436,0.66374,,hypothetical protein,FALSE
285,SPT_1107,1.03,0.01,0.097,0.013,,56,0,56,0,,SPT_1107,1.021329143,0.011251033,0.106070885,0.016771279,40,0,40,0,0.008,94,0.396,0.69301,,hypothetical ABC transporter ATP-binding protein,FALSE
272,SPT_1108,1.042,0.013,0.115,0.016,,49,0,49,0,,SPT_1108,1.04773241,0.017943764,0.133954337,0.024456604,30,0,30,0,-0.006,77,0.209,0.83516,,pseudo,FALSE
