Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Kan,var-19F-Kan,sd-19F-Kan,se-19F-Kan,Total-19F-Kan,Blank-19F-Kan,Not Blank-19F-Kan,Blank Removed-19F-Kan,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
1044,SPT_1188,1.025,0.004,0.065,0.006,,106,0,106,0,,SPT_1188,0.989,0.007,0.084,0.008,102,0,102,0,0.036,206,3.461,0.00065,,dihydrolipoamide acetyltransferase,FALSE
993,SPT_1189,1.02,0.008,0.088,0.009,,92,0,92,0,,SPT_1189,1.035,0.008,0.089,0.009,91,0,91,0,-0.016,181,1.189,0.23614,,"acetoin dehydrogenase, E1 component, beta subunit, putative",FALSE
969,SPT_1190,1.006,0.005,0.072,0.008,,76,0,76,0,,SPT_1190,0.981,0.014,0.118,0.014,72,2,70,0,0.025,146,1.535,0.12699,,"acetoin dehydrogenase, E1 component, alpha subunit, putative",FALSE
1362,SPT_1191,0.975,0.006,0.078,0.006,,167,0,167,0,,SPT_1191,0.979,0.009,0.096,0.007,165,0,165,0,-0.003,330,0.342,0.73275,,mate efflux family protein,FALSE
465,SPT_1193,0.976,0.007,0.086,0.014,,40,0,40,0,,SPT_1193,0.967,0.006,0.08,0.013,38,0,38,0,0.009,76,0.476,0.63527,,mutator MutT protein,FALSE
654,SPT_1194,1.004,0.005,0.071,0.01,ung,53,0,53,0,,SPT_1194,0.981,0.008,0.088,0.012,52,0,52,0,0.023,103,1.489,0.13947,,uracil-DNA glycosylase,FALSE
480,SPT_1195,0.997,0.009,0.095,0.01,,97,0,97,0,,SPT_1195,1.042,0.008,0.091,0.01,91,0,91,0,-0.045,186,3.303,0.00115,,hypothetical protein,FALSE
714,SPT_1196,1.012,0.003,0.059,0.007,,63,0,63,0,,SPT_1196,0.996,0.016,0.127,0.017,58,1,57,0,0.016,119,0.866,0.38836,,HAD superfamily (subfamily IA) hydrolase,FALSE
381,SPT_1197,1.021,0.006,0.081,0.01,,63,0,63,0,,SPT_1197,0.988,0.006,0.08,0.011,55,0,55,0,0.034,116,2.266,0.02531,,"dihydroxyacetone kinase, phosphotransfer subunit",FALSE
2481,SPT_1198,1.024,0.006,0.08,0.007,,124,0,124,0,,SPT_1198,1.018,0.004,0.066,0.006,116,0,116,0,0.006,238,0.664,0.50703,,pneumococcal histidine triad protein B,FALSE
918,SPT_1199,1.014,0.006,0.077,0.008,,94,0,94,0,,SPT_1199,1.019,0.006,0.076,0.008,91,0,91,0,-0.005,183,0.44,0.66023,,adhesion lipoprotein,FALSE
1392,SPT_1200,1.01,0.004,0.065,0.005,,199,0,199,0,,SPT_1200,1.003,0.007,0.081,0.006,192,0,192,0,0.007,389,1.009,0.31379,,amino acid permease family protein,FALSE
558,SPT_1201,1.03,0.005,0.069,0.012,,36,0,36,0,,SPT_1201,1.01,0.012,0.111,0.018,36,0,36,0,0.02,70,0.898,0.37216,,thioredoxin family protein,FALSE
708,SPT_1202,1.014,0.003,0.059,0.008,,54,0,54,0,,SPT_1202,1.004,0.005,0.074,0.01,53,0,53,0,0.01,105,0.778,0.43803,,cytochrome c-type biogenesis protein CcdA,FALSE
417,SPT_1203,1.025,0.006,0.076,0.015,,27,0,27,0,,SPT_1203,0.988,0.003,0.054,0.011,24,0,24,0,0.038,49,2.067,0.04403,,hypothetical protein,FALSE
201,SPT_1204,1.034,0.003,0.057,0.016,,12,0,12,0,,SPT_1204,0.991,0.01,0.102,0.031,11,0,11,0,0.043,21,1.23,0.2323,,hypothetical protein,FALSE
126,SPT_1205,1.002,0,0,0,,1,0,1,0,,SPT_1205,0.935,0,0,0,1,0,1,0,,,,,,hypothetical protein,FALSE
330,SPT_1206,,,,,,,,,,,SPT_1206,,,,,,,,M,,,,,,transposase,FALSE
,SPT_1207,,,,,,,,,,,SPT_1207,,,,,,,,,,,,,,,FALSE
,SPT_1208,,,,,,,,,,,SPT_1208,,,,,,,,,,,,,,,FALSE
,SPT_1209,,,,,,,,,,,SPT_1209,,,,,,,,,,,,,,,FALSE
1764,SPT_1210,0.977,0,0.011,0.008,,2,0,2,0,,SPT_1210,1.154,0,0,0,1,0,1,0,-0.178,1,21.863,0.0291,,glycerophosphoryl diester phosphodiesterase family protein,FALSE
591,SPT_1211,1.033,0.005,0.072,0.012,,34,0,34,0,,SPT_1211,0.969,0.02,0.14,0.025,32,1,31,0,0.064,64,2.301,0.02469,,DNA polymerase III subunit epsilon,FALSE
480,SPT_1212,0.949,0,0.014,0.01,,2,0,2,0,,SPT_1212,1.145,0.015,0.124,0.087,2,0,2,0,-0.197,2,2.233,0.15516,,hypothetical protein,FALSE
693,SPT_1213,0.973,0.001,0.032,0.019,mtnN,3,0,3,0,,SPT_1213,0.979,0.001,0.024,0.014,3,0,3,0,-0.006,4,0.253,0.81247,,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,FALSE
315,SPT_1214,0.926,0.016,0.127,0.034,,14,0,14,0,,SPT_1214,0.909,0.006,0.074,0.022,11,0,11,0,0.017,23,0.423,0.67633,,hypothetical protein,FALSE
546,SPT_1215,0.93,0.01,0.098,0.017,,33,0,33,0,,SPT_1215,0.908,0.01,0.099,0.018,29,0,29,0,0.021,60,0.85,0.39895,,ADP-ribose pyrophosphatase,FALSE
1380,SPT_1216,0.971,0.007,0.081,0.036,glmU,5,0,5,0,,SPT_1216,0.967,0.017,0.13,0.058,5,0,5,0,0.003,8,0.047,0.96363,,UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase,FALSE
789,SPT_1217,1.009,0.006,0.078,0.008,,107,0,107,0,,SPT_1217,0.983,0.008,0.092,0.009,103,0,103,0,0.025,208,2.147,0.03298,,lyzozyme M1,FALSE
843,SPT_1218,0.999,0.007,0.082,0.01,,70,0,70,0,,SPT_1218,0.901,0.025,0.158,0.02,64,2,62,0,0.098,132,4.431,0.00002,,integral membrane protein,FALSE
453,SPT_1219,1.02,0.004,0.064,0.014,,22,0,22,0,,SPT_1219,0.972,0.006,0.08,0.017,21,0,21,0,0.048,41,2.149,0.03761,,"regulatory protein, putative",FALSE
621,SPT_1220,0.997,0.003,0.054,0.008,,50,0,50,0,,SPT_1220,0.988,0.007,0.086,0.012,48,0,48,0,0.009,96,0.626,0.53282,,phosphoglycerate mutase,FALSE
444,SPT_1221,0.997,0.023,0.151,0.029,,28,1,27,0,,SPT_1221,1.095,0.016,0.125,0.024,26,0,26,0,-0.098,52,2.61,0.0118,,pseudo,FALSE
942,SPT_1222,0.96,0.007,0.082,0.008,prsA,100,0,100,0,,SPT_1222,0.945,0.015,0.124,0.013,91,1,90,0,0.015,189,0.953,0.3417,,foldase protein PrsA,FALSE
678,SPT_1223,1.022,0.008,0.087,0.011,,68,0,68,0,,SPT_1223,1.008,0.01,0.098,0.012,65,0,65,0,0.014,131,0.86,0.39122,,O-methyltransferase family protein,FALSE
1812,SPT_1224,1.005,0.004,0.06,0.004,pepF1,248,0,248,0,,SPT_1224,0.981,0.007,0.081,0.005,239,1,238,0,0.024,485,3.731,0.00021,,oligoendopeptidase F,FALSE
954,SPT_1225,1.003,0.006,0.08,0.008,,99,0,99,0,,SPT_1225,0.991,0.006,0.077,0.008,94,0,94,0,0.012,191,1.072,0.28488,,competence protein CoiA,FALSE
861,SPT_1226,0.979,0.007,0.084,0.012,tehB,53,0,53,0,,SPT_1226,0.971,0.008,0.088,0.013,49,0,49,0,0.008,100,0.497,0.62003,,tellurite resistance protein TehB,FALSE
468,SPT_1227,0.861,0.009,0.097,0.016,smpB,38,0,38,0,,SPT_1227,0.771,0.026,0.162,0.029,31,1,30,0,0.09,67,2.724,0.00821,,SsrA-binding protein,FALSE
2355,SPT_1228,0.867,0.023,0.15,0.013,rnr,128,2,126,0,,SPT_1228,0.851,0.045,0.211,0.021,101,6,95,0,0.015,227,0.61,0.5422,,ribonuclease R,FALSE
234,SPT_1229,0.921,0,0.011,0.007,secG,2,0,2,0,,SPT_1229,0.625,0.231,0.481,0.34,2,1,1,0,0.296,2,0.869,0.47625,,"preprotein translocase, SecG subunit",FALSE
150,SPT_1230,1.035,0.008,0.09,0.019,rpmG,22,0,22,0,,SPT_1230,1.042,0.006,0.079,0.018,19,0,19,0,-0.006,39,0.241,0.8111,,ribosomal protein L33,FALSE
1200,SPT_1231,1.004,0.005,0.07,0.006,,140,0,140,0,,SPT_1231,1.004,0.006,0.075,0.006,140,0,140,0,0,278,0.005,0.99638,,multi-drug resistance efflux pump,FALSE
606,SPT_1232,0.989,0.005,0.074,0.026,coaE,8,0,8,0,,SPT_1232,0.951,0.007,0.083,0.031,7,0,7,0,0.038,13,0.918,0.37527,,dephospho-CoA kinase,FALSE
825,SPT_1233,0.994,0.006,0.078,0.011,mutM,55,0,55,0,,SPT_1233,1.001,0.007,0.081,0.011,52,0,52,0,-0.007,105,0.451,0.65297,,formamidopyrimidine-DNA glycosylase,FALSE
900,SPT_1234,0.909,0.012,0.11,0.014,era,62,0,62,0,,SPT_1234,0.842,0.031,0.177,0.023,57,3,54,0,0.067,117,2.453,0.01564,,GTP-binding protein Era,FALSE
396,SPT_1235,0.87,0.014,0.118,0.025,,22,0,22,0,,SPT_1235,0.881,0.003,0.058,0.013,20,0,20,0,-0.012,40,0.408,0.68539,,diacylglycerol kinase (dagk) (diglyceride kinase)(dgk),FALSE
498,SPT_1236,0.911,0.008,0.09,0.045,,4,0,4,0,,SPT_1236,0.927,0.004,0.059,0.042,2,0,2,0,-0.017,4,0.272,0.79909,,putative metalloprotease,FALSE
1656,SPT_1237,0.978,0.006,0.079,0.007,,128,0,128,0,,SPT_1237,0.948,0.008,0.09,0.008,121,0,121,0,0.03,247,2.755,0.0063,,adherence and virulence protein A,FALSE
2109,SPT_1238,1.011,0.008,0.092,0.006,,277,0,277,0,,SPT_1238,1.004,0.007,0.086,0.005,268,0,268,0,0.006,543,0.804,0.42148,,endo-beta-N-acetylglucosaminidase,FALSE
939,SPT_1239,0.91,0.009,0.093,0.011,,77,0,77,0,,SPT_1239,0.9,0.017,0.128,0.016,68,1,67,0,0.01,143,0.542,0.58862,,"dihydroorotate dehydrogenase B, catalytic subunit (dihydroorotate oxidase b) (dhodehase b) (dhodase b) (dhod b)",FALSE
801,SPT_1240,0.928,0.005,0.067,0.008,,73,0,73,0,,SPT_1240,0.91,0.01,0.102,0.013,65,0,65,0,0.018,136,1.188,0.23677,,dihydroorotate dehydrogenase electron transfer subunit,FALSE
381,SPT_1241,1.027,0.006,0.079,0.011,,52,0,52,0,,SPT_1241,1.002,0.007,0.084,0.012,51,0,51,0,0.024,101,1.51,0.13412,,lactoylglutathione lyase,FALSE
360,SPT_1242,0.984,0.002,0.041,0.018,rplT,5,0,5,0,,SPT_1242,0.964,0.003,0.052,0.023,5,0,5,0,0.02,8,0.685,0.51268,,ribosomal protein L20,FALSE
201,SPT_1243,1.014,0.009,0.097,0.032,rpmI,9,0,9,0,,SPT_1243,1.012,0.029,0.169,0.06,8,0,8,0,0.001,15,0.018,0.98599,,ribosomal protein L35,FALSE
558,SPT_1244,0.975,0,0.001,0.001,infC,2,0,2,0,,SPT_1244,0.975,0.001,0.026,0.018,2,0,2,0,0,2,0.011,0.99215,,translation initiation factor IF-3,FALSE
1185,SPT_1245,1.025,0.005,0.069,0.005,,157,0,157,0,,SPT_1245,1.019,0.007,0.087,0.007,150,0,150,0,0.007,305,0.742,0.45871,,hypothetical protein,FALSE
588,SPT_1246,1.038,0.006,0.076,0.008,,95,0,95,0,,SPT_1246,1.046,0.01,0.101,0.01,93,0,93,0,-0.007,186,0.562,0.57456,,"ABC transporter, ATP-binding protein",FALSE
2241,SPT_1247,1.028,0.006,0.076,0.005,,258,0,258,0,,SPT_1247,1.018,0.007,0.084,0.005,249,0,249,0,0.01,505,1.384,0.16687,,DNA internalization-related competence protein ComEC/Rec2,FALSE
651,SPT_1248,1.02,0.006,0.075,0.01,,54,0,54,0,,SPT_1248,1.015,0.005,0.074,0.01,54,0,54,0,0.005,106,0.331,0.74125,,competence protein CelA,FALSE
570,SPT_1249,1.006,0.009,0.094,0.012,,66,1,65,0,,SPT_1249,0.989,0.007,0.083,0.011,62,0,62,0,0.017,126,1.106,0.27066,,"acetyltransferase, gnat family",FALSE
1440,SPT_1252,1.016,0.006,0.075,0.007,,116,0,116,0,,SPT_1252,1.016,0.008,0.087,0.008,112,0,112,0,0,226,0.044,0.96517,,pseudo,FALSE
228,SPT_1253,1.037,0.004,0.064,0.01,,39,0,39,0,,SPT_1253,1.036,0.004,0.06,0.01,40,0,40,0,0.001,77,0.078,0.9384,,TfoX N- domain family protein,FALSE
501,SPT_1254,1.013,0.005,0.074,0.009,,66,0,66,0,,SPT_1254,1.015,0.007,0.082,0.011,59,0,59,0,-0.002,123,0.131,0.89619,,"acetyltransferase, gnat family",FALSE
969,SPT_1255,1.024,0.005,0.067,0.007,,86,0,86,0,,SPT_1255,1.009,0.007,0.084,0.009,81,0,81,0,0.015,165,1.248,0.21393,,PhoH family protein,FALSE
126,SPT_1256,1.018,0.006,0.077,0.021,,13,0,13,0,,SPT_1256,1.012,0.01,0.102,0.027,14,0,14,0,0.006,25,0.173,0.86424,,hypothetical protein,FALSE
216,SPT_1257,0.994,0.004,0.067,0.018,,14,0,14,0,,SPT_1257,0.971,0.008,0.089,0.026,12,0,12,0,0.023,24,0.724,0.47609,,hypothetical protein,FALSE
894,SPT_1258,0.988,0.006,0.079,0.009,,73,0,73,0,,SPT_1258,0.985,0.011,0.107,0.013,65,0,65,0,0.002,136,0.151,0.88029,,s1 RNA binding domain protein,FALSE
558,SPT_1259,0.982,0,0.017,0.01,frr,3,0,3,0,,SPT_1259,0.924,0.004,0.062,0.036,3,0,3,0,0.059,4,1.59,0.18701,,ribosome recycling factor,FALSE
738,SPT_1260,0.846,0.006,0.077,0.034,pyrH,5,0,5,0,,SPT_1260,0.929,0.018,0.133,0.066,4,0,4,0,-0.083,7,1.105,0.30565,,UMP kinase,FALSE
1335,SPT_1261,1,0.006,0.078,0.008,trmFO,102,0,102,0,,SPT_1261,0.947,0.017,0.13,0.013,93,2,91,0,0.053,193,3.398,0.00082,,tRNA:M(5)U-54 methyltransferase,FALSE
318,SPT_1263,0.622,0.093,0.305,0.153,,4,1,3,0,,SPT_1263,0.28,0.083,0.288,0.203,2,1,1,0,0.342,4,1.343,0.25042,,DNA replication intiation control protein YabA,FALSE
891,SPT_1264,0.983,0,0.019,0.009,,5,0,5,0,,SPT_1264,1.018,0.003,0.056,0.025,5,0,5,0,-0.035,8,1.329,0.22054,,DNA polymerase III subunit delta',FALSE
639,SPT_1265,,,,,tmk,,,,,,SPT_1265,,,,,,,,,,,,,,thymidylate kinase,FALSE
798,SPT_1266,0.985,0.007,0.081,0.009,proC,84,0,84,0,,SPT_1266,0.971,0.007,0.085,0.01,78,0,78,0,0.014,160,1.062,0.28999,,pyrroline-5-carboxylate reductase,FALSE
1263,SPT_1267,1.011,0.005,0.07,0.006,proA,148,0,148,0,,SPT_1267,1.01,0.011,0.103,0.009,146,2,144,0,0.001,292,0.091,0.92784,,glutamate-5-semialdehyde dehydrogenase,FALSE
1110,SPT_1268,1.01,0.005,0.074,0.008,proB,87,0,87,0,,SPT_1268,1.003,0.006,0.08,0.009,80,0,80,0,0.007,165,0.622,0.53506,,gamma-glutamyl kinase,FALSE
1884,SPT_1269,1.009,0.006,0.077,0.005,,274,0,274,0,,SPT_1269,1.005,0.009,0.095,0.006,265,1,264,0,0.004,537,0.556,0.57843,,choline binding protein E,FALSE
888,SPT_1270,0.963,0.008,0.089,0.01,,81,0,81,0,,SPT_1270,0.979,0.015,0.123,0.014,80,1,79,0,-0.016,159,0.964,0.33663,,ribosomal large subunit pseudouridine synthase D,FALSE
909,SPT_1272,0.974,0.008,0.089,0.009,,91,0,91,0,,SPT_1272,0.9,0.037,0.194,0.022,77,4,73,0,0.075,166,3.111,0.00219,,regulatory function on capsule expression in group B streptococci,FALSE
198,SPT_1273,0.99,0.003,0.051,0.013,,15,0,15,0,,SPT_1273,0.978,0.008,0.089,0.022,16,0,16,0,0.012,29,0.469,0.64281,,hypothetical protein,FALSE
672,SPT_1274,1.013,0.006,0.079,0.008,,110,0,110,0,,SPT_1274,1.023,0.005,0.073,0.007,105,0,105,0,-0.01,213,0.943,0.34691,,caax amino protease family,FALSE
222,SPT_1275,1.02,0.004,0.066,0.011,,38,0,38,0,,SPT_1275,1.015,0.005,0.073,0.012,39,0,39,0,0.005,75,0.309,0.75802,,hypothetical protein,FALSE
810,SPT_1276,1.009,0.003,0.058,0.007,,75,0,75,0,,SPT_1276,1.006,0.006,0.076,0.009,74,0,74,0,0.003,147,0.253,0.80065,,Cof family protein,FALSE
876,SPT_1277,1.018,0.006,0.075,0.007,aguB,111,0,111,0,,SPT_1277,1.035,0.007,0.085,0.008,112,0,112,0,-0.017,221,1.585,0.11444,,N-carbamoylputrescine amidase,FALSE
1086,SPT_1278,1.001,0.007,0.083,0.007,aguA,135,0,135,0,,SPT_1278,1.011,0.006,0.079,0.007,130,0,130,0,-0.011,263,1.069,0.28623,,agmatine deiminase,FALSE
1128,SPT_1279,1.008,0.007,0.081,0.007,nspC,148,0,148,0,,SPT_1279,1.012,0.008,0.087,0.007,139,0,139,0,-0.004,285,0.422,0.6732,,carboxynorspermidine decarboxylase,FALSE
1260,SPT_1280,1.016,0.005,0.072,0.006,lys,165,0,165,0,,SPT_1280,1.005,0.012,0.11,0.009,157,2,155,0,0.011,320,1.101,0.27151,,saccharopine dehydrogenase,FALSE
861,SPT_1281,0.998,0.006,0.075,0.009,speE,66,0,66,0,,SPT_1281,1.009,0.006,0.077,0.01,66,0,66,0,-0.011,130,0.803,0.42367,,spermidine synthase,FALSE
138,SPT_1282,,,,,,,,,,,SPT_1282,,,,,,,,,,,,,,hypothetical protein,FALSE
528,SPT_1283,1.045,0.005,0.067,0.013,,27,0,27,0,,SPT_1283,1.017,0.007,0.084,0.017,24,0,24,0,0.028,49,1.314,0.195,,transposase,FALSE
1476,SPT_1284,1.018,0.004,0.067,0.005,,209,0,209,0,,SPT_1284,1.01,0.006,0.079,0.006,203,0,203,0,0.008,410,1.147,0.25189,,arginine decarboxylase,FALSE
237,SPT_1285,,,,,,,,,,,SPT_1285,,,,,,,,M,,,,,,transposase,FALSE
876,SPT_1286,0.998,0.013,0.115,0.041,,8,0,8,0,,SPT_1286,1.026,0.016,0.125,0.044,8,0,8,0,-0.029,14,0.475,0.64227,,IS1239 transposase,FALSE
429,SPT_1287,1.035,0.009,0.094,0.012,,58,0,58,0,,SPT_1287,1.021,0.007,0.085,0.012,54,0,54,0,0.013,110,0.795,0.42855,,integral membrane protein,FALSE
1989,SPT_1288,1.017,0.007,0.083,0.005,,243,1,242,0,,SPT_1288,1.009,0.011,0.107,0.007,233,2,231,0,0.009,474,0.998,0.31856,,"ABC-type antimicrobial peptide transport system, permease component",FALSE
759,SPT_1289,1.023,0.006,0.077,0.008,,100,0,100,0,,SPT_1289,1.001,0.008,0.091,0.009,94,0,94,0,0.022,192,1.834,0.06815,,bacitracin export ATP-binding protein BceA,FALSE
192,SPT_1290,1.008,0.004,0.063,0.01,,36,0,36,0,,SPT_1290,0.987,0.005,0.072,0.012,34,0,34,0,0.02,68,1.26,0.21195,,hypothetical protein,FALSE
273,SPT_1291,1.007,0.004,0.062,0.011,,32,0,32,0,,SPT_1291,0.983,0.006,0.078,0.014,30,0,30,0,0.024,60,1.344,0.18386,,PspC domain family,FALSE
450,SPT_1292,1.006,0.004,0.066,0.01,,46,0,46,0,,SPT_1292,0.988,0.007,0.081,0.012,45,0,45,0,0.018,89,1.176,0.24261,,Putative metallopeptidase (SprT family),FALSE
2130,SPT_1293,1.031,0.007,0.081,0.006,,176,0,176,0,,SPT_1293,1.021,0.011,0.107,0.008,161,0,161,0,0.01,335,0.977,0.32935,,S1 RNA binding domain protein,FALSE
132,SPT_1294,1.043,0.001,0.034,0.02,,3,0,3,0,,SPT_1294,0.982,0,0,0,1,0,1,0,0.061,2,3.109,0.08976,,hypothetical protein,FALSE
906,SPT_1295,1.002,0.011,0.104,0.012,,77,1,76,0,,SPT_1295,0.983,0.007,0.081,0.01,69,0,69,0,0.018,144,1.202,0.23136,,"membrane protein, puative",FALSE
816,SPT_1296,1.031,0.005,0.069,0.007,,98,0,98,0,,SPT_1296,1.02,0.007,0.082,0.009,91,0,91,0,0.011,187,0.98,0.32848,,"ABC transporter, substrate-binding protein",FALSE
717,SPT_1297,1.004,0.005,0.074,0.007,,105,0,105,0,,SPT_1297,0.999,0.008,0.091,0.009,100,0,100,0,0.004,203,0.375,0.70831,,hypothetical protein,FALSE
282,SPT_1298,1.021,0.006,0.076,0.013,,32,0,32,0,,SPT_1298,0.988,0.012,0.109,0.019,31,0,31,0,0.033,61,1.385,0.17111,,hypothetical protein,FALSE
384,SPT_1299,,,,,,,,,,,SPT_1299,,,,,,,,,,,,,,mobile genetic element,FALSE
873,SPT_1300,1.019,0.006,0.077,0.008,,97,0,97,0,,SPT_1300,1.014,0.006,0.079,0.008,92,0,92,0,0.005,187,0.461,0.64524,,"lipoprotein, putative",FALSE
1347,SPT_1301,,,,,,,,,,,SPT_1301,,,,,,,,M,,,,,,Spn1 transposase,FALSE
1506,SPT_1302,0.983,0,0,0,pyk,1,0,1,0,,SPT_1302,1.007,0,0,0,1,0,1,0,,,,,,pyruvate kinase,FALSE
1008,SPT_1303,0.712,0.178,0.422,0.149,pfkA,8,3,5,0,,SPT_1303,0.851,0.152,0.39,0.138,8,2,6,0,-0.139,14,0.686,0.50388,,6-phosphofructokinase,FALSE
3102,SPT_1304,,,,,dnaE,,,,,,SPT_1304,,,,,,,,,,,,,,DNA polymerase III DnaE,FALSE
2274,SPT_1305,0.993,0.008,0.091,0.006,,246,1,245,0,,SPT_1305,0.984,0.007,0.085,0.006,240,0,240,0,0.01,484,1.206,0.22849,,x-prolyl-dipeptidyl aminopeptidase,FALSE
471,SPT_1306,1.003,0.005,0.071,0.011,,42,0,42,0,,SPT_1306,0.976,0.009,0.096,0.015,39,0,39,0,0.026,79,1.39,0.1683,,"transcriptional repressor, putative",FALSE
156,SPT_1307,1.087,0,0,0,,1,0,1,0,,SPT_1307,1.06,0,0,0,1,0,1,0,0.026,0,#DIV/0!,#DIV/0!,,chlorohydrolase,FALSE
3351,SPT_1308,1.018,0.006,0.074,0.004,,429,0,429,0,,SPT_1308,1.007,0.009,0.096,0.005,414,2,412,0,0.012,841,1.952,0.05125,,"type I restriction-modification system, R subunit, putative",FALSE
1044,SPT_1309,0.998,0.01,0.101,0.008,,157,0,157,0,,SPT_1309,1.024,0.006,0.078,0.006,154,0,154,0,-0.025,309,2.464,0.01427,,"type I restriction-modification system, S subunit",FALSE
966,SPT_1310,1,0.005,0.073,0.006,,151,0,151,0,,SPT_1310,0.983,0.01,0.101,0.008,144,1,143,0,0.017,293,1.623,0.10566,,phage integrase family integrase/recombinase,FALSE
414,SPT_1311,1.008,0.007,0.086,0.014,,39,0,39,0,,SPT_1311,0.996,0.004,0.063,0.01,38,0,38,0,0.012,75,0.674,0.50266,,prophage maintenance system killer protein,FALSE
237,SPT_1312,0.955,0.002,0.043,0.018,,6,0,6,0,,SPT_1312,0.934,0.001,0.028,0.012,5,0,5,0,0.021,9,0.956,0.36409,,hypothetical protein,FALSE
1122,SPT_1313,1.021,0.007,0.082,0.006,,169,0,169,0,,SPT_1313,1.025,0.008,0.087,0.007,156,0,156,0,-0.003,323,0.361,0.71808,,"type I restriction-modification system, S subunit, putative",FALSE
1494,SPT_1314,1.001,0.006,0.08,0.006,,184,0,184,0,,SPT_1314,0.984,0.01,0.098,0.008,168,0,168,0,0.017,350,1.758,0.07965,,type I restriction modification enzyme methylase subunit,FALSE
126,SPT_1315,,,,,,,,,,,SPT_1315,,,,,,,,,,,,,,chlorohydrolase,FALSE
1167,SPT_1316,1.019,0.004,0.065,0.006,,118,0,118,0,,SPT_1316,0.996,0.006,0.078,0.007,114,0,114,0,0.023,230,2.467,0.01435,,carbamoylphosphate synthase large subunit,FALSE
408,SPT_1317,0.999,0.006,0.079,0.012,,43,0,43,0,,SPT_1317,0.992,0.008,0.088,0.013,43,0,43,0,0.007,84,0.395,0.69388,,hypothetical protein,FALSE
336,SPT_1318,1.022,0.005,0.071,0.014,,26,0,26,0,,SPT_1318,1.006,0.007,0.083,0.017,25,0,25,0,0.016,49,0.72,0.47481,,hypothetical protein,FALSE
825,SPT_1319,1.018,0.006,0.078,0.008,,104,0,104,0,,SPT_1319,1.014,0.008,0.089,0.009,106,0,106,0,0.004,208,0.325,0.74532,,putative esterase superfamily,FALSE
1215,SPT_1320,0.997,0.011,0.104,0.01,thiI,104,1,103,0,,SPT_1320,0.984,0.011,0.106,0.011,96,1,95,0,0.013,198,0.87,0.3854,,thiamine biosynthesis/tRNA modification protein ThiI,FALSE
1143,SPT_1321,1.032,0.006,0.075,0.008,,88,0,88,0,,SPT_1321,1.023,0.006,0.08,0.009,79,0,79,0,0.009,165,0.756,0.45048,,"aminotransferase, class-V",FALSE
429,SPT_1322,1,0.008,0.089,0.011,,62,0,62,0,,SPT_1322,1.013,0.008,0.089,0.011,62,0,62,0,-0.013,122,0.835,0.40517,,hypothetical protein,FALSE
2226,SPT_1323,,,,,,,,,,,SPT_1323,,,,,,,,,,,,,,SpoE family protein,FALSE
1953,SPT_1324,1.011,0.008,0.089,0.007,fruA,161,1,160,0,,SPT_1324,1.008,0.007,0.081,0.007,151,0,151,0,0.003,310,0.3,0.76405,,"PTS system, fructose subfamily, IIABC component",FALSE
912,SPT_1325,1.009,0.006,0.08,0.011,pfkB,54,0,54,0,,SPT_1325,1.012,0.007,0.083,0.012,45,0,45,0,-0.003,97,0.187,0.85209,,1-phosphofructokinase,FALSE
741,SPT_1326,0.987,0.006,0.074,0.01,,53,0,53,0,,SPT_1326,0.966,0.004,0.063,0.009,49,0,49,0,0.022,100,1.604,0.11181,,lactose phosphotransferase system repressor,FALSE
121,SPT_1327,1.083,0.004,0.06,0.021,,8,0,8,0,,SPT_1327,1.03,0.021,0.146,0.055,7,0,7,0,0.053,13,0.896,0.3863,,tRNA-Ser*,FALSE
1032,SPT_1328,1.025,0.013,0.114,0.04,,8,0,8,0,,SPT_1328,0.981,0.053,0.229,0.087,7,0,7,0,0.044,13,0.457,0.65507,,membrane protein,FALSE
1413,SPT_1330,,,,,sufB,,,,,,SPT_1330,,,,,,,,,,,,,,intein-containing protein,FALSE
441,SPT_1331,,,,,,,,,,,SPT_1331,,,,,,,,,,,,,,NifU family protein,FALSE
1227,SPT_1332,,,,,,,,,,,SPT_1332,,,,,,,,,,,,,,"aminotransferase, class-V",FALSE
1263,SPT_1333,0.916,0.01,0.101,0.072,sufD,2,0,2,0,,SPT_1333,0.993,0.003,0.055,0.039,2,0,2,0,-0.077,2,0.941,0.44614,,FeS assembly protein SufD,FALSE
771,SPT_1334,0.92,0.009,0.093,0.046,sufC,4,0,4,0,,SPT_1334,0.972,0.004,0.064,0.037,3,0,3,0,-0.052,5,0.881,0.41847,,FeS assembly ATPase SufC,FALSE
123,SPT_1335,0.999,0.003,0.056,0.017,,11,0,11,0,,SPT_1335,0.914,0.008,0.092,0.026,12,0,12,0,0.085,21,2.692,0.01366,,hypothetical protein,FALSE
1656,SPT_1336,0.896,0,0,0,,1,0,1,0,,SPT_1336,0.961,0,0,0,1,0,1,0,,,,,,DNA polymerase III subunits gamma and tau,FALSE
