Gene,start,end,strand,na_length,gene.name,product
Rv1765A,1999142,1999357,-,216,,Mobile element protein
Rv1766,1999731,2000006,+,276,,Metal-sensitive transcriptional repressor
Rv1767,2000074,2000433,+,360,,Possible carboxymuconolactone decarboxylase family protein (EC 4.1.1.44)
Rv1768,2000614,2002470,+,1857,PE_PGRS31,PE_PGRS family protein => PE_PGRS31
Rv1769,2002626,2003870,+,1245,,"L-gulono-1,4-lactone oxidase (EC 1.1.3.8)"
Rv1770,2003959,2005164,+,1206,,Putative aminopeptidase
Rv1771,2005161,2006447,+,1287,,"Oxidoreductase, FAD-binding"
Rv1772,2006636,2006947,+,312,,hypothetical protein
Rv1773c,2007020,2007715,-,696,,"Transcriptional regulator, IclR family"
Rv1774,2007832,2009172,+,1341,,"Oxidoreductase, FAD-binding"
Rv1775,2009172,2009990,+,819,,hypothetical protein
Rv1776c,2009995,2010555,-,561,,"Transcriptional regulator, AcrR family"
Rv1777,2010656,2011960,+,1305,cyp144,Cytochrome P450 144
Rv1778c,2012081,2012530,-,450,,hypothetical protein
Rv1779c,2012686,2014479,-,1794,,FIG00821637: hypothetical protein
Rv1780,2014699,2015262,+,564,,FIG00820556: hypothetical protein
Rv1781c,2015302,2017485,-,2184,malQ,4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)
Rv1782,2017869,2019260,+,1392,,"Membrane protein EccB5, component of Type VII secretion system ESX-5"
Rv1783,2019257,2020564,+,1308,,"FtsK/SpoIIIE family protein EccC5, component of Type VII secretion system ESX-5"
Rv1784,2020634,2023432,+,2799,,"FtsK/SpoIIIE family protein EccC5, component of Type VII secretion system ESX-5"
Rv1785c,2023447,2024628,-,1182,cyp143,Cytochrome P450 143
Rv1786,2024828,2025031,+,204,,Ferredoxin Rv1786 @ Ferredoxin
Rv1787,2025301,2026398,+,1098,PPE25,"PPE family protein, SVP subgroup => PPE25, component of Type VII secretion system ESX-5"
Rv1788,2026477,2026776,+,300,PE18,"PE family protein => PE18, component of Type VII secretion system ESX-5"
Rv1789,2026790,2027971,+,1182,PPE26,"PPE family protein, SVP subgroup => PPE26, component of Type VII secretion system ESX-5"
Rv1790,2028425,2029477,+,1053,PPE27,"PPE family protein, SVP subgroup => PPE27, component of Type VII secretion system ESX-5"
Rv1791,2029904,2030203,+,300,PE19,"PE family protein => PE19, component of Type VII secretion system ESX-5"
Rv1793,2030694,2030978,+,285,esxN,hypothetical protein
Rv1794,2031066,2031968,+,903,,FIG023076: hypothetical protein in PPE gene cluster
Rv1795,2032240,2033751,+,1512,,"Integral membrane protein EccD5, component of Type VII secretion system ESX-5"
Rv1796,2033729,2035486,+,1758,mycP5,"Serine protease mycosin MycP5, component of Type VII secretion system ESX-5"
Rv1797,2035483,2036703,+,1221,,"Membrane protein EccE5, component of Type VII secretion system ESX-5"
Rv1798,2036700,2038532,+,1833,,"AAA+ family protein ATPase EccA5, component of Type VII secretion system ESX-5"
Rv1799,2039159,2039350,+,192,lppT,hypothetical protein
Rv1800,2039453,2041420,+,1968,PPE28,"PPE family protein, MPTR subgroup => PPE28"
Rv1801,2042070,2043272,+,1203,PPE29,"PPE family protein, SVP subgroup => PPE29"
Rv1802,2043384,2044775,+,1392,PPE30,"PPE family protein, SVP subgroup => PPE30"
Rv1803c,2044923,2046875,-,1953,PE_PGRS32,PE_PGRS family protein => PE_PGRS32
Rv1804c,2047023,2047349,-,327,,FIG00819992: hypothetical protein
Rv1805c,2047687,2048109,-,423,,hypothetical protein
Rv1806,2048072,2048371,+,300,PE20,PE family protein => PE20
Rv1807,2048386,2049597,+,1212,PPE31,"PPE family protein, SVP subgroup => PPE31"
Rv1808,2049918,2051150,+,1233,PPE32,"PPE family protein, SVP subgroup => PPE32"
Rv1809,2051282,2052688,+,1407,PPE33,"PPE family protein, SVP subgroup => PPE33"
Rv1810,2052975,2053289,+,315,,FIG00819992: hypothetical protein
Rv1811,2053443,2054147,+,705,mgtC,Mg(2+)-transport-ATPase-associated protein MgtC
Rv1812c,2054157,2055350,-,1194,,NADH dehydrogenase (EC 1.6.99.3)
Rv1813c,2055681,2056082,-,402,,putative membrane protein
Rv1814,2056479,2057423,+,945,erg3,Fatty acid hydroxylase family (carotene hydroxylase/sterol desaturase)
Rv1815,2057573,2058193,+,621,,hypothetical protein
Rv1816,2058397,2058960,+,564,,"Transcriptional regulator, AcrR family"
Rv1817,2059595,2061058,+,1464,,"fumarate reductase/succinate dehydrogenase flavoprotein, N-terminal:FAD dependent oxidoreductase"
Rv1818c,2061178,2062674,-,1497,PE_PGRS33,PE_PGRS family protein => PE_PGRS33
Rv1819c,2062809,2064530,-,1722,,"Efflux ABC transporter, permease/ATP-binding protein"
Rv1820,2064799,2066442,+,1644,ilvG,Thiamine pyrophosphate-requiring enzymes
Rv1821,2066547,2068883,+,2337,secA2,Protein translocase subunit SecA paralog 1
Rv1822,2069080,2069709,+,630,pgsA2,"Cardiolipin synthase (CMP-forming), eukaryotic type Cls-II (EC 2.7.8.41)"
Rv1823,2069696,2070625,+,930,,FIG030330: hypothetical protein
Rv1824,2070687,2071019,+,333,,Small basic protein Sbp
Rv1825,2071129,2071914,+,786,,Uncharacterized protein YlxW
Rv1826,2071952,2072356,+,405,gcvH,Glycine cleavage system H protein
Rv1827,2072596,2073084,+,489,cfp17,Glycogen accumulation regulator GarA
Rv1828,2073081,2073824,+,744,,"Transcriptional regulator, MerR family"
Rv1829,2073943,2074437,+,495,,hypothetical protein
Rv1830,2074886,2075518,+,633,,Uncharacterized HTH-type transcriptional regulator
Rv1832,2075877,2078702,+,2826,gcvB,Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)
Rv1833c,2078929,2079789,-,861,,Haloalkane dehalogenase 2 (EC 3.8.1.5)
Rv1834,2079932,2080696,+,765,,Hydrolase
Rv1835c,2080701,2082509,-,1809,,hypothetical protein
Rv1836c,2082603,2084636,-,2034,,hypothetical protein
Rv1837c,2084756,2086981,-,2226,glcB,Malate synthase G (EC 2.3.3.9)
Rv1838c,2087257,2087652,-,396,,"toxin VapC13 @ Toxin 1, PIN domain"
Rv1839c,2087649,2087765,-,117,,hypothetical protein
Rv1840c,2087971,2089518,-,1548,PE_PGRS34,PE_PGRS family protein => PE_PGRS34
Rv1841c,2089681,2090718,-,1038,,Magnesium and cobalt efflux protein CorC
Rv1842c,2090718,2092085,-,1368,,UPF0053 protein Rv1842c/MT1890
Rv1843c,2092259,2093698,-,1440,guaB1,Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain
Rv1844c,2093731,2095188,-,1458,gnd1,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
Rv1845c,2095218,2096168,-,951,,"Peptidase M48, Ste24p precursor"
Rv1846c,2096183,2096599,-,417,,"Transcriptional regulator, BlaI family"
Rv1847,2096877,2097299,+,423,,Putative esterase
Rv1848,2097348,2097650,+,303,ureA,Urease gamma subunit (EC 3.5.1.5)
Rv1849,2097647,2097961,+,315,ureB,Urease beta subunit (EC 3.5.1.5)
Rv1850,2097961,2099694,+,1734,ureC,Urease alpha subunit (EC 3.5.1.5)
Rv1851,2099694,2100329,+,636,ureF,Urease accessory protein UreF
Rv1852,2100340,2101014,+,675,ureG,Urease accessory protein UreG
Rv1853,2101022,2101648,+,627,ureD,Urease accessory protein UreD
Rv1854c,2101651,2102991,-,1341,ndh,NADH dehydrogenase (EC 1.6.99.3)
Rv1855c,2103184,2104107,-,924,,Oxidoreductase
Rv1856c,2104146,2104817,-,672,,"Oxidoreductase Rv1856c, short-chain dehydrogenase/reductase family"
Rv1857,2104985,2105770,+,786,modA,"Molybdenum ABC transporter, substrate-binding protein ModA"
Rv1858,2105830,2106567,+,738,modB,Molybdenum ABC transporter permease protein ModB
Rv1859,2106574,2107683,+,1110,modC,Molybdenum ABC transporter ATP-binding protein ModC
Rv1860,2108120,2108713,+,594,apa,hypothetical protein
Rv1861,2109165,2109470,+,306,,putative membrane protein
Rv1862,2109544,2110584,+,1041,adhA,Alcohol dehydrogenase (EC 1.1.1.1)
Rv1863c,2110591,2111313,-,723,,putative membrane protein
Rv1864c,2111354,2112109,-,756,,Uncharacterized protein SCO4765
Rv1865c,2112106,2112966,-,861,,Short-chain dehydrogenase
Rv1866,2113062,2115476,+,2415,,CaiB/BaiF family protein
Rv1867,2115788,2117248,+,1461,,Acetyl-CoA acetyltransferase
Rv1868,2117347,2119446,+,2100,,Phosphoenolpyruvate synthase (EC 2.7.9.2)
Rv1869c,2119460,2120695,-,1236,,Anthranilate dioxygenase reductase
Rv1870c,2120795,2121397,-,603,,hypothetical protein
Rv1871c,2121495,2121872,-,378,,hypothetical protein
Rv1872c,2121907,2123151,-,1245,lldD2,L-lactate dehydrogenase
Rv1873,2123174,2123611,+,438,,NTP pyrophosphohydrolases including oxidative damage repair enzymes
Rv1874,2123666,2124370,+,705,,hypothetical protein
Rv1875,2124381,2124824,+,444,,probable F420-dependent enzyme
Rv1876,2125340,2125819,+,480,bfrA,Bacterioferritin (EC 1.16.3.1)
Rv1877,2125973,2127967,+,1995,,"MFS-type transporter Rv1877 family => implicated in rifampicin, ofloxacin efflux"
Rv1878,2128022,2129374,+,1353,glnA3,Glutamine synthetase-like protein
Rv1879,2129377,2130513,+,1137,,Amidohydrolase
Rv1880c,2130541,2131857,-,1317,cyp140,Cytochrome P450 140
Rv1881c,2131907,2132329,-,423,lppE,Lipoprotein LppE
Rv1882c,2132370,2133203,-,834,,Probable short-chain type dehydrogenase/reductase (EC 1.1.-.-)
Rv1883c,2133231,2133650,-,420,,FIG00820653: hypothetical protein
Rv1884c,2133731,2134153,-,423,rpfC,Resuscitation-promoting factor RpfC
Rv1885c,2134273,2134872,-,600,,Periplasmic chorismate mutase I precursor (EC 5.4.99.5)
Rv1886c,2134890,2135822,-,933,fbpB,Antigen 85-B precursor (85B) @ Mycolyl transferase 85B (EC 2.3.1.20)
Rv1887,2136342,2137400,+,1059,,putative membrane protein
Rv1888c,2137519,2138079,-,561,,putative membrane protein
Rv1888A,2138444,2138617,-,174,,O-methyltransferase
Rv1889c,2138661,2139017,-,357,,O-methyltransferase
Rv1890c,2139076,2139546,-,471,,hypothetical protein
Rv1891,2139741,2140148,+,408,,putative membrane protein
Rv1892,2140165,2140476,+,312,,putative membrane protein
Rv1893,2140486,2140704,+,219,,hypothetical protein
Rv1894c,2140739,2141869,-,1131,,"putative oxidoreductase, nitronate monooxygenase family"
Rv1895,2142521,2143675,+,1155,,Threonine dehydrogenase and related Zn-dependent dehydrogenases
Rv1896c,2143535,2144446,-,912,,O-methyltransferase
Rv1897c,2144451,2144828,-,378,,D-aminoacyl-tRNA deacylase (EC 3.1.1.96)
Rv1898,2144940,2145248,+,309,,ExtraCellular Mutant; Ecm15p
Rv1899c,2145214,2145735,-,522,lppD,Lipoprotein LppD
Rv1900c,2146245,2147582,-,1338,lipJ,lignin peroxidase LipJ
Rv1901,2147662,2148954,+,1293,cinA,ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42)
Rv1902c,2149006,2150232,-,1227,nanT,Sialic acid-transport integral membrane protein NanT
Rv1903,2150364,2150768,+,405,,putative membrane protein
Rv1904,2151080,2151385,+,306,,Anti-sigma B factor antagonist RsbV
Rv1905c,2151433,2152395,-,963,aao,D-amino-acid oxidase (EC 1.4.3.3)
Rv1906c,2152425,2152817,-,393,,FIG00823749: hypothetical protein
Rv1907c,2153235,2153708,-,474,,hypothetical protein
Rv1908c,2153889,2156111,-,2223,katG,Catalase-peroxidase KatG (EC 1.11.1.21)
Rv1909c,2156149,2156541,-,393,furA,"Transcriptional regulator, Fur family"
Rv1910c,2156706,2157311,-,606,,Phosphatidylethanolamine-binding protein
Rv1911c,2157382,2157876,-,495,lppC,Phosphatidylethanolamine-binding protein
Rv1912c,2158087,2159091,-,1005,fadB5,Oxidoreductase FadB5
Rv1913,2159191,2159943,+,753,,MBL-fold metallo-hydrolase superfamily
Rv1914c,2159921,2160328,-,408,,hypothetical protein
Rv1915,2160463,2161566,+,1104,aceAa,"Isocitrate lyase (EC 4.1.3.1), group III, Mycobacterial type ICL2"
Rv1916,2161536,2162762,+,1227,aceAb,"Isocitrate lyase (EC 4.1.3.1), group III, Mycobacterial type ICL2"
Rv1917c,2162932,2167344,-,4413,PPE34,"PPE family protein, MPTR subgroup => PPE34"
Rv1918c,2167649,2170600,-,2952,PPE35,"PPE family protein, MPTR subgroup => PPE35"
Rv1919c,2171061,2171453,-,393,,hypothetical protein
Rv1920,2171623,2172486,+,864,,Acyltransferase family protein
Rv1921c,2172524,2173795,-,1272,lppF,Lipoprotein LppF
Rv1922,2174100,2175182,+,1083,,Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily
Rv1923,2175284,2176513,+,1230,lipD,Putative esterase
Rv1924c,2176550,2176930,-,381,,hypothetical protein
Rv1925,2177087,2178949,+,1863,fadD31,"Polyketide synthase modules and related proteins @ Long-chain fatty-acid-AMP ligase, Mycobacterial subgroup FadD31"
Rv1926c,2178957,2179436,-,480,mpt63,Immunogenic protein MPT63/MPB63 precursor
Rv1927,2179673,2180446,+,774,,Putative uncharacterized protein BCG_1966
Rv1928c,2180450,2181217,-,768,,"Oxidoreductase, short-chain dehydrogenase/reductase family"
Rv1929c,2181262,2181906,-,645,,hypothetical protein
Rv1930c,2181918,2182442,-,525,,Putative uncharacterized protein BCG_1969c
Rv1931c,2182460,2182690,-,231,,"Transcriptional regulator, AraC family"
Rv1932,2183372,2183869,+,498,tpx,"Thiol peroxidase, Tpx-type (EC 1.11.1.15)"
Rv1933c,2183866,2184957,-,1092,fadE18,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE18"
Rv1934c,2184959,2186188,-,1230,fadE17,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE17"
Rv1935c,2186203,2187159,-,957,echA13,Enoyl-CoA hydratase (EC 4.2.1.17)
Rv1936,2187315,2188493,+,1179,,Monooxygenase component A
Rv1937,2188496,2191015,+,2520,,"Monooxygenase, FAD- and [2Fe-2S]-containing component B"
Rv1938,2191027,2192097,+,1071,ephB,Monooxygenase component C / Probable epoxide hydrolase EphB (EC 3.3.2.9)
Rv1939,2192094,2192609,+,516,,NADH-FMN oxidoreductase
Rv1940,2192606,2193667,+,1062,ribA1,"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)"
Rv1941,2193664,2194434,+,771,,"Oxidoreductase, short-chain dehydrogenase/reductase family"
Rv1942c,2194644,2194973,-,330,,"Death on curing protein, Doc toxin"
Rv1943c,2194970,2195347,-,378,,"Prevent host death protein, Phd antitoxin"
Rv1944c,2195344,2195829,-,486,,hypothetical protein
Rv1945,2195989,2197353,+,1365,,13E12 repeat family protein
Rv1947,2198024,2198425,+,402,,hypothetical protein
Rv1948c,2198714,2199064,-,351,,hypothetical protein
Rv1949c,2199075,2199977,-,903,,hypothetical protein
Rv1950c,2199998,2200189,-,192,,hypothetical protein
Rv1951c,2200190,2200318,-,129,,hypothetical protein
Rv1952,2200714,2200941,+,228,,antitoxin VapB14 @ VapB protein (antitoxin to VapC)
Rv1953,2200938,2201249,+,312,,toxin VapC14 @ VapC toxin protein
Rv1955,2201719,2202096,+,378,,Toxin HigB
Rv1956,2202138,2202587,+,450,,Antitoxin HigA
Rv1957,2202584,2203129,+,546,,hypothetical protein
Rv1959c,2203681,2203977,-,297,,ParE toxin protein
Rv1960c,2203974,2204225,-,252,,ParD protein (antitoxin to ParE)
Rv1961,2204365,2204706,+,342,,"Helicase, C-terminal"
Rv1962c,2204866,2205273,-,408,,"toxin VapC35 @ Toxin 1, PIN domain"
Rv1963c,2205582,2206745,-,1164,mce3R,"Transcriptional repressor Mce3R, TetR family"
Rv1964,2207688,2208497,+,810,yrbE3A,Conserved hypothetical integral membrane protein YrbEa
Rv1965,2208546,2209322,+,777,yrbE3B,Conserved hypothetical integral membrane protein YrbEb
Rv1966,2209354,2210604,+,1251,mce3A,MCE-family protein MceA
Rv1967,2210625,2211629,+,1005,mce3B,MCE-family protein MceB
Rv1968,2211614,2212858,+,1245,mce3C,MCE-family protein MceC
Rv1969,2212855,2214126,+,1272,mce3D,MCE-family protein MceD
Rv1970,2214123,2215256,+,1134,lprM,MCE-family lipoprotein MceE
Rv1971,2215257,2216570,+,1314,mce3F,MCE-family protein MceF
Rv1972,2216592,2217167,+,576,,FIG00821219: MCE associated membrane protein
Rv1973,2217164,2217646,+,483,,FIG00820195: MCE associated membrane protein
Rv1974,2217659,2218036,+,378,,FIG00820120: hypothetical protein Rv1974
Rv1975,2218082,2218717,+,636,,FIG00821319: hypothetical protein Rv1975
Rv1976c,2218844,2219230,-,387,,hypothetical protein
Rv1977,2219895,2220800,+,906,,Zn-dependent protease with chaperone function
Rv1978,2220908,2221756,+,849,,hypothetical protein
Rv1979c,2221719,2223164,-,1446,,"Uncharacterized amino acid permease, GabP family"
Rv1980c,2223343,2224029,-,687,mpt64,hypothetical protein
Rv1981c,2224220,2225188,-,969,nrdF1,"Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1)"
Rv1982c,2225413,2225832,-,420,,"toxin VapC36 @ Toxin 1, PIN domain"
Rv1983,2226244,2227920,+,1677,PE_PGRS35,PE_PGRS family protein => PE_PGRS35
Rv1984c,2227908,2228525,-,618,cfp21,Cutinase
Rv1985c,2228991,2229902,-,912,,"Transcriptional regulator ArgP, LysR family"
Rv1986,2230011,2230610,+,600,,Arginine exporter protein ArgO
Rv1988,2231680,2232219,+,540,,23S rRNA (adenine(2058)-N(6))-dimethyltransferase (EC 2.1.1.184) => Erm(37)
Rv1989c,2232739,2233299,-,561,,hypothetical protein
Rv1990c,2233296,2233637,-,342,,hypothetical protein
Rv1992c,2234991,2237240,-,2250,ctpG,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
Rv1993c,2237303,2237575,-,273,,hypothetical protein
Rv1994c,2237628,2237969,-,342,,"Transcriptional regulator, ArsR family"
Rv1995,2238180,2238908,+,729,,Repair of Iron Centers di-iron protein
Rv1996,2239004,2239957,+,954,,Universal stress protein family
Rv1997,2240171,2242876,+,2706,ctpF,"Cation-transporting ATPase, E1-E2 family"
Rv1998c,2242945,2243721,-,777,,PEP phosphonomutase and related enzymes
Rv1999c,2243816,2245078,-,1263,,Uncharacterized transporter Rv1999c/MT2055
Rv2000,2245380,2246822,+,1443,,hypothetical protein
Rv2001,2246832,2247584,+,753,,hypothetical protein
Rv2002,2247606,2248442,+,837,fabG3,3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase (EC 1.1.1.53)
Rv2003c,2248563,2249270,-,708,,Methyltransferase type 11
Rv2004c,2249478,2250974,-,1497,,Uncharacterized protien Rv2004c
Rv2005c,2250996,2251883,-,888,,Universal stress protein family
Rv2006,2252002,2255985,+,3984,otsB1,Not trehalose-6-phosphate phosphatase
Rv2007c,2256084,2256401,-,318,fdxA,"4Fe-4S ferredoxin, iron-sulfur binding"
Rv2008c,2256617,2257786,-,1170,,"ATPase, AAA family"
Rv2009,2258045,2258272,+,228,,"antitoxin VapB15 @ Antitoxin to Toxin 1, PIN domain"
Rv2010,2258273,2258671,+,399,,"toxin VapC15 @ Toxin 1, PIN domain"
Rv2011c,2258854,2259285,-,432,,"Transcriptional regulator, MarR family"
Rv2012,2259386,2259820,+,435,,hypothetical protein
Rv2013,2260665,2261144,+,480,,Transposase
Rv2014,2261098,2261688,+,591,,Transposase
Rv2015c,2261816,2263072,-,1257,,HNH endonuclease domain protein
Rv2016,2263390,2264001,+,612,,hypothetical protein
Rv2017,2263998,2265038,+,1041,,Zn peptidase with DNA binding
Rv2018,2265271,2265999,+,729,,hypothetical protein
Rv2019,2266103,2266405,+,303,,hypothetical protein
Rv2020c,2266421,2266708,-,288,,Putative helicase
Rv2021c,2266805,2267110,-,306,,Antitoxin HigA
Rv2022c,2267119,2267484,-,366,,Toxin HigB
Rv2023c,2267749,2268057,-,309,,hypothetical protein
Rv2024c,2268693,2270231,-,1539,,Putative helicase
Rv2025c,2270750,2271748,-,999,,Cobalt-zinc-cadmium resistance protein
Rv2026c,2271863,2272747,-,885,,Universal stress protein family
Rv2027c,2272787,2274463,-,1677,,Two component system sensor histidine kinase DevS
Rv2028c,2274569,2275408,-,840,,Universal stress protein family
Rv2029c,2275405,2276424,-,1020,pfkB,1-phosphofructokinase (EC 2.7.1.56)
Rv2030c,2276441,2278486,-,2046,,Erythromycin esterase homolog
Rv2031c,2278498,2278932,-,435,hspX,14 kDa antigen (16 kDa antigen) (HSP 16.3)
Rv2032,2279129,2280124,+,996,acg,Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2
Rv2033c,2280240,2281082,-,843,,Uncharacterized protien SCO2557
Rv2034,2281294,2281617,+,324,,"Transcriptional regulator, ArsR family"
Rv2035,2281614,2282102,+,489,,Ligand-binding SRPBCC domain CalC
Rv2036,2282099,2282740,+,642,,hypothetical protein
Rv2037c,2282747,2283643,-,897,,lysophospholipase-like family protein
Rv2038c,2283723,2284796,-,1074,,"N-Acetyl-D-glucosamine ABC transport system, ATP-binding protein"
Rv2039c,2284799,2285641,-,843,,"N-acetyl-D-glucosamine ABC transporter, permease protein 2"
Rv2040c,2285628,2286491,-,864,,"N-acetyl-D-glucosamine ABC transporter, permease protein 1"
Rv2041c,2286527,2287690,-,1164,,"N-acetyl-D-glucosamine ABC transporter, substrate-binding protein"
Rv2042c,2287884,2288681,-,798,,Putative uncharacterized protein BCG_2061c
Rv2043c,2288681,2289241,-,561,pncA,Nicotinamidase (EC 3.5.1.19) @ Pyrazinamidase
Rv2044c,2289282,2289632,-,351,,putative membrane protein
Rv2045c,2289685,2291190,-,1506,lipT,Probable carboxylesterase LipT (EC 3.1.1.-)
Rv2046,2291269,2291925,+,657,lppI,Probable lipoprotein lppI
Rv2047c,2291962,2294526,-,2565,,Phosphoenolpyruvate synthase (EC 2.7.9.2)
Rv2048c,2294531,2306986,-,12456,pks12,Modular polyketide synthase
Rv2049c,2307293,2307595,-,303,,hypothetical protein
Rv2050,2307860,2308156,+,297,,FIG00820327: hypothetical protein
Rv2051c,2308131,2310920,-,2790,ppm1,Apolipoprotein N-acyltransferase (EC 2.3.1.-) in lipid-linked oligosaccharide synthesis cluster / Undecaprenyl-phosphate mannosyltransferase (EC 2.4.1.54)
Rv2052c,2310913,2312517,-,1605,,Exoenzymes regulatory protein AepA in lipid-linked oligosaccharide synthesis cluster
Rv2053c,2312522,2313052,-,531,fxsA,Cytoplasmic membrane protein FsxA
Rv2054,2313125,2313838,+,714,,Dienelactone hydrolase family protein
Rv2055c,2314087,2314353,-,267,rpsR,"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent"
Rv2056c,2314354,2314659,-,306,rpsN,"SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent"
Rv2057c,2314661,2314825,-,165,rpmG,"LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent"
Rv2058c,2314825,2315061,-,237,rpmB,"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent"
Rv2059,2315459,2316709,+,1251,,"Zinc ABC transporter, substrate-binding protein ZnuA"
Rv2061c,2316681,2317085,-,405,,F420-dependent enzyme Rv2061c
Rv2062c,2317169,2320753,-,3585,cobN,Aerobic cobaltochelatase CobN subunit (EC 6.6.1.2)
Rv2063,2320912,2321064,+,153,,hypothetical protein
Rv2064,2321490,2322542,+,1053,cobG,Precorrin-3B synthase
Rv2065,2322552,2323178,+,627,cobH,Precorrin-8X methylmutase (EC 5.4.99.61)
Rv2066,2323175,2324701,+,1527,cobI,Precorrin-2 C(20)-methyltransferase (EC 2.1.1.130) / Precorrin-3B C(17)-methyltransferase (EC 2.1.1.131)
Rv2067c,2324647,2325870,-,1224,,SAM-dependent methyltransferase
Rv2068c,2325886,2326809,-,924,blaC,Class A beta-lactamase (EC 3.5.2.6)
Rv2069,2326944,2327501,+,558,sigC,RNA polymerase ECF-type sigma factor
Rv2070c,2327491,2328225,-,735,cobK,Precorrin-6A reductase (EC 1.3.1.54)
Rv2071c,2328222,2328995,-,774,cobM,Precorrin-4 C(11)-methyltransferase (EC 2.1.1.133)
Rv2072c,2328974,2330146,-,1173,cobL,"Precorrin-6Y C(5,15)-methyltransferase [decarboxylating] (EC 2.1.1.132)"
Rv2073c,2330214,2330963,-,750,,"Oxidoreductase, short-chain dehydrogenase/reductase family"
Rv2074,2330993,2331406,+,414,,"Biliverdin reductase, F420H2-dependent (EC 1.3.98.-)"
Rv2075c,2331416,2332843,-,1428,,hypothetical protein
Rv2076c,2333037,2333201,-,165,,hypothetical protein
Rv2077c,2333323,2334294,-,972,,putative membrane protein
Rv2077A,2334295,2334594,-,300,,hypothetical protein
Rv2078,2335059,2335373,+,315,,hypothetical protein
Rv2079,2335355,2337325,+,1971,,hypothetical protein
Rv2080,2337306,2337869,+,564,lppJ,Possible lipoprotein LppJ
Rv2082,2338709,2340874,+,2166,,Vegetative cell wall protein gp1 precursor
Rv2083,2340871,2341815,+,945,,hypothetical protein
Rv2084,2341808,2342944,+,1137,,hypothetical protein
Rv2085,2343027,2343332,+,306,,hypothetical protein
Rv2086,2343311,2343916,+,606,,hypothetical protein
Rv2087,2343994,2344224,+,231,,hypothetical protein
Rv2088,2344411,2346180,+,1770,pknJ,"AAA+ ATPase superfamily protein YifB/ComM, associated with DNA recombination"
Rv2089c,2346197,2347411,-,1215,pepE,Probable dipeptidase PepE (EC 3.4.13.-)
Rv2090,2347634,2348554,+,921,,DNA polymerase I 5'-3' exonuclease domain
Rv2091c,2348558,2349292,-,735,,putative membrane protein
Rv2092c,2349334,2352054,-,2721,helY,FIG005666: putative helicase
Rv2093c,2352103,2353029,-,927,tatC,Twin-arginine translocation protein TatC
Rv2094c,2353046,2353297,-,252,tatA,Twin-arginine translocation protein TatA
Rv2095c,2353365,2354315,-,951,,FIG019733: possible DNA-binding protein
Rv2096c,2354312,2355310,-,999,,FIG005453: Putative DeoR-family transcriptional regulator
Rv2097c,2355319,2356662,-,1344,,"Pup ligase PafA, possible component of postulated heterodimer PafA-PafA'"
Rv2100,2358386,2360041,+,1656,,"13E12 repeat family protein, HNH endonuclease domain"
Rv2101,2360240,2363281,+,3042,helZ,"Helicase, SNF2/RAD54 family"
Rv2102,2363274,2364107,+,834,,SWF/SNF family helicase Rv2102
Rv2103c,2364086,2364520,-,435,,"toxin VapC37 @ Toxin 1, PIN domain"
Rv2104c,2364527,2364763,-,237,,"antitoxin VapB37 @ Antitoxin to Toxin 1, PIN domain"
Rv2105,2365465,2365791,+,327,,Insertion element IS6110 (Mycobacterium tuberculosis) transposase
Rv2106,2365842,2366726,+,885,,Mobile element protein
Rv2107,2367389,2367655,+,267,PE22,PE family protein => PE22
Rv2108,2367711,2368442,+,732,PPE36,PPE family protein => PPE36
Rv2109c,2368983,2369729,-,747,prcA,"Proteasome subunit alpha (EC 3.4.25.1), bacterial"
Rv2110c,2369726,2370601,-,876,prcB,"Proteasome subunit beta (EC 3.4.25.1), bacterial"
Rv2111c,2370598,2370792,-,195,,Prokaryotic ubiquitin-like protein Pup
Rv2112c,2370905,2372569,-,1665,,"Pup ligase PafA' paralog, possible component of postulated heterodimer PafA-PafA'"
Rv2113,2372678,2373823,+,1146,,putative membrane protein
Rv2114,2373816,2374457,+,642,,hypothetical protein
Rv2115c,2374461,2376308,-,1848,,Bacterial proteasome-activating AAA-ATPase (PAN)
